姓名,点赞数,评论内容
青森?Polaris,5,我觉得钉钉好可怜啊????????????最惨官方之一，我感觉不是钉钉的错啊，不是它选择了学生，而是老师选择了钉钉。这个软件拿来上课的确有很多很多缺陷，我下载看了一下觉得操作好麻烦（真的）。。。。还好我们学校不用它，但是感觉上班族平时需要用它去工作吧[doge]。打了五星，试图拯救钉钉（感觉并没有什么用）哈哈(?ω?)hiahia大家都不容易，这个软件设计也不轻松，互相包容一下吧，一次性分两期付款或者打两星也好[doge][doge]	
尤里CUTEYURI,5,迫切需要防沉迷功能	
是惟亭不是唯亭,5,"太可爱了！！（你无法想象 我居然给它打五?了 不分期付款的那种[害羞][doge]）
（哦 我不用钉钉的事我就先不说了哈[吃瓜]	"
原点O团团,5,"抱抱钉钉酱。这里一位浙江高三党，从高一开始用钉钉，主要是为了拿来自我监督打卡。钉钉的日程应用、任务应用和邮件应用没的说，自己家里人共享了以后再也不用担心自己的一些重大事项忘记了（包括学校的和家里的）。钉钉提供的平台能够让我们在这样的环境下，尤其是在严格管控的温州市提供一个很好的学习机会。虽然确实打卡这个功能比较烦（我妈说的），但是它的ding一下功能能让课代表很方便分发老师的作业材料和催作业（我这个语文课代表就是这样的）。希望钉钉以后可以完善一下教育和学校管理这一领域，做的越来越好！（ps：在华为应用市场我给你打的是五星哦，没有分期的那种！）
钉钉还是个小孩子，我们还是暖暖地抱抱他好了，毕竟网课也不是他的锅，只是他的功能被老师利用了罢了。	"
冶万缺水呐-_-,5,其实 这个课 该上是逃不了的 肯定会有一个软件让大家学上习的。今天我们上课超新星 智慧树 慕课 等等好多平台都试过了 进不去 就钉钉进得去 能好好上课.以后评论我都会给五星的 钉钉加油！其实大家都是心里觉得这样玩有趣而已 没必要 给五星吧。这么好的软件	
-Raven,5,我是真的心疼钉钉，人家一个办公平台这次没那么多人骂[无语]，用我之前在看点的话回复，那些因为学校直接看都不看打一星的人，“这就是那种，自己亲人被车撞死了，又得罪不起开车的人，于是跑去车店疯狂diss车店的家伙”，人间迷惑行为，如果说它卡的话，我们一整个高中都在用同一个软件，况且中国这么多学校，又不是王者那种可以载几个亿人的巨型软件，放过钉钉吧，他只是个办公软件啊[无语]	
阿婴er,5,其实一直觉得钉钉飞来横祸挺惨的hh毕竟对于我这个高三党来说还是有点需要网课的，不然我可能就管不住自己，觉得还在放假就飘了[笑哭]说实话钉钉功能还是挺全的，官方也太可爱了吧hh视频有点上头，刷了三遍了，大概我喜欢做爸爸[妙啊][妙啊]	
虚时無用,5,玩梗适度8  恶意一星真的非常憨批 钉钉只是个平台 且也不是专门网络直播授课的平台 只是因为这方面做的还不错以至于被老师或许学校推举出来  做得好当然不是钉钉的不对  没了钉钉，还有锤锤棒棒叉叉[无语]知道学生们有怨气 可钉钉没了 你们就不用上课了吗 我也正在上网课  虽然不爽但我明白我的不高兴和在哪个平台没啥关系	
梨梨梨D,5,平时调侃一下就好了，真给一星的都是无能狂怒的学渣╮(￣▽￣)╭	
完颜又一尉迟君和,5,不过，说句公道话，是学校要直播上课，就算这个软件没了，还有下一个，根本问题也不在于软件，为了发泄自己的不满而给软件低分，其实对后台设计者和负责人应该有某种程度的伤害。己所不欲勿施于人，冤有头债有主。	
杰仔超甜,5,我在实习公司就用钉钉上下班打卡 都是上班族用的多 而且网课也是学校安排学校选的app 真的不赖钉钉 恶意评分真的太恶心了 一个人恶意评分就有无数人效仿 放过钉钉吧 没有地方出气别拿软件撒气 怎么不问问学校为什么开网课怎么不去举报学校呢 狗头保命 你要骂我 我就骂你 呸！	
随便起个啥名儿吧,5,自刷？好的钉钉五星评论水军石锤[doge]	
yqq1u,5,好吧[喜极而泣]我专门去打了个五星，怪可怜的，也确实不是工具平台的错。大家有意见建议去和老师老板正面刚，捡软柿子捏算什么本事	
尘扮先,5,"你们喷轻点吧，钉钉下架了还有下一个钉钉。
。还不如改变自己的态度。他成了你们的靶子，却并没有你们的靶心。	"
隔壁爹爹,5,应用商城评论区戾气真重，好好学习，对以后也有好处，别搞这些有的没的，不学习你在家干嘛呢？出去吹风？还是打游戏？只有毕业生才知道现在时间的紧迫？？？其他不知道的么？？？	
金色是泰阳的妍色啊,5,我觉得不要恶意一星，安卓市场的差评真的恶心，打五星会被人骂，会被FM，我是真的感概那些恶意低分的素质，有一说一，还不是为了学生，为什么要恶意的给一个软甲打差评？看到那些软件商店打一星还说是个好软件的真的觉得很恶臭，钉钉本来没有错，在假期给了我们一个学习交流的平台，我觉得挺好的，只不过它是刚好被老师选中而已，如果真的钉钉下架了，说不定还有下一个锤锤呢，你们还是一星下架吗？那开发者也太无辜了点吧，我认为还是要尊重别人的成果。我也是个学生，我给钉钉五星不是因为在家学习舒服，而是我懂得尊重别人。希望以后有人提到钉钉会感谢它在这个特殊时期给我们学习交流的平台吧	
かわいいrinne,5,安卓市场的差评真的恶心，打五星会被人骂，会被FM，我是真的感概小学生的素质	
我不认识萝卜,5,以前以为评分是真都是那些为软件考虑，为了那些用他们的人们着想，现在才慢慢知道其实评分这种完全就在于的自己心情，软件再怎么完美再怎么为别人服务，如果涉及到自己的利益，肯定低分少不了[无语]而且现在都2月18号了，早就过开学日子了吧，谁都不乐意拿手机上课，但现在这种情况没办法，而且钉钉不是因为这次疫情看准学校才出现的吧，人家五年前就有了，现在不少学校都在用吧，人用多的话服务器也会炸的吧，我也不知道就算这么多学校都在用它到底能盈利多少，但因为这个人数肯定也会付出不少的吧，而且打一星也暴露不少东西吧，就比如只要涉及自身的原因，就不考虑后果了，就打个比方，我在另个视频说我是个特别理性公平的人。把自己塑造的绝对公平，然后发现要上网课了，不高兴，直接给了一分，反正也没人知道，这样的例子肯定也有，软件无罪，这种非常时期肯定有非常措施，总不能一直在家里玩手机然后一开学啥都忘了吧。	
冉冉升起的苒苒,5,建  议  封  号	
虚构言论,5,五星分期付款！下次一定付清！[口罩]	
键盘机车手,3,从你的软件窥见了社畜的生活，很真实，好评	
辞怡丶,3,一个视频反复听好几遍，甚至捞了一排官方[doge]	
SFJupiter木星炮,3,"大家哪是讨厌钉钉呢？就是不想上课。
所以说都是搞笑而已啦[doge]	"
只无心,3,钉钉一到应用市场，所有的小学生，中学生，高中生便都看着他笑，有的叫道：“钉钉啊，你在应用市场又减了一颗星！”他不回答，对客服说：“把支付宝刻进钉钉里去。”接着就盘出一箱大钱。学生们又故意的嚷道：“本来一星就要下架，你肯定是有后台！”钉钉睁大眼睛说：“你怎么这样凭空污人清白？”“”什么清白？我前天亲眼见了你拿200万给了华为官方。”钉钉便涨红了脸，额上的青筋条条绽出，争辩道，“停课不能停学，我这是为你们学生好，读书人的事怎能算后台呢？”接连着便是难懂的话，什么“君子固疾”，什么“者乎”之类，引得众人都哄笑起来：应用市场外充满了快活的空气。	
一只老狐狸Nick,3,来康康这个AV90164987[滑稽][滑稽]	
冰色琉璃-仙,3,"AV90164987推荐这个视频[doge]
中  门  对  狙	"
鬼画符天,3,av90164987，顶我上去让钉钉看到[热词系列_妙啊]	
胡潇人,3,爬	
源炁风暴,3,中门对狙，一个萝莉，一个御姐	
夜樱∮月泪,3,"★★★★★（第一天）五星好评一次付清
☆☆☆☆☆（第二天）打开脚本每天0星一次
☆☆☆☆☆（第三天）
☆☆☆☆☆（第四天）
…………
☆☆☆☆☆（第N天）开学卸载钉钉
提问：五星好评一次付清，请问钉钉赚了多少分？	"
韦十五,3,五天了，一天一遍，真的上头了。??	
忘记密码记住我,3,听说钉钉要自刷，举报了举报了[滑稽][滑稽][滑稽]	
京阿尼是神仙,3,看在你这么惨..5星给了!两次![妙啊]	
4円酱,3,这是我在b站看到最多一次各方官方号来蹭热度的~~~	
11str_,3,"合集来了！
原版：av89441613 
日语：av89869838 
翻唱：av89880262 
手风琴：av89717506 
二胡：av90164348 
口琴：av90131471 
penbeat：av89902708 
古筝：av90116402 
唢呐:av90423750
钢琴：av89653202 
电脑键盘：av90078227 
架子鼓：av89676003
贝斯:av90238433
奶声奶气:av90159210	"
行香子树绕村庄,3,无限宝学着点，不然小破站都救不了你	
恰菠萝不吐皮,3,别慌，我一定给你打五星好评，不要问为什么，因为我就是这样助人为乐的大四好青年[doge][doge]	
戳鹅啦,3,我昨天还在同情别人，今天就迫被下了	
煮熟的鱼,3,中门对狙?(?^o^?)?AV90164987	
夏天的蝉蝉,3,这么多大佬，楼层这么低，我偷偷吃口屎没人发现吧，吧唧吧唧～[妙啊]	
ff__ff,3,我不是你爸爸，你是我爸爸。	
未来科学家mjz,3,完了，上头了[微笑]	
凉拌番茄加点盐,3,不用担心，过不了多久就会有腾讯课堂，腾讯会议，学习通，慕课他们来陪你了[拥抱][拥抱]	
祭酒的鱼,3,"我=钉钉的爸爸
阿里=马云
马云=钉钉的爸爸
我=马云[滑稽][妙啊][doge]	"
丢人亚,3,huohuo，听说你想自刷？流量造假等着你。	
带-雄,3,反向营销nb	
koilla,3,我感觉众多的一星好评才是钉钉功能强大的证明。。。。如果上课天天断线搞得最后课都没法上，也不督促每天打卡啥的轻轻松松没压力，那谁还给一星好评，估计都刷五星差评[doge][doge][doge]。	
君行四海,3,其实分期是在学你哥花呗的，不信你问他	
布嗡妮亚,3,★☆☆☆☆	
okoocc,3,给你刷五星了 五岁崽子不容易	
-陈梨花-,3,我知道这是营销，但是我看得开心呀[妙啊]	
B站十哥,3,AV90164987中 门 对 狙[吃瓜]	
逍遥老韩,3,不是我找事，但你这画的真像个蝙蝠[doge]	
大章鱼小丸子ooo,3,所以为什么一个办公软件可以刷礼物[doge][doge][doge]	
墨言千秋,3,哈哈哈哈哈哈哈哈哈哈哈哈我不用钉钉哈哈哈哈哈哈哈哈哈哈哈但我用学习通智慧树[doge]害	
春日野穹哭,3,AV90164987 中门对狙击了嗷[doge]	
有够埋汰的,3,笑死，热评全是各大学校跟支付宝一家人。	
神经小第二,3,哗众取宠，这up没有一点尊严吗？迟早下去...欧，这是钉钉啊，那没事了	
我是罗玲,3,卧槽我钉钉响了，不看了	
性感美伽推在线锄大地,3,打弈星的事情我不会干的，他我本命	
small贪欢,3,老师告诉我们 学校和雨课堂谈好了 用雨课堂上课 然后 雨课堂崩了(;?_?)大家跪求老师用钉钉 卡怕了	
The_Fog,3,31万粉丝，1000万播放量 不愧是你[热词系列_不愧是你]	
卑微小宋嘿,3,老师面前我唯唯诺诺，应用商店我重拳出击	
步行街车神,3,我们是因为这个给你一星？？？你莫名其妙的启动我家摄像头干嘛？当我不看电脑程序？真当每个人是电脑sha子？？？？？还能检测后台？这都算侵权了。你还想狡辩？你家里少人怎么不去狡辩？[吐][吐][吐]	
呆呆呆呆毛ゝ,3,"离职后就不行了。钉钉的目标用户不是员工，而是老板们，因为老板们才有权决定使用哪个办公软件。钉钉声称离职后保存打卡记录3个月，但是有法院传单都不肯给你导出，这么做就是为了保护老板的利益。可以说是非常的恶心了。
是这样？	"
载音-Ushio,3,所以隔壁腾讯课堂为什么还没动静[doge]	
凉城路以断,3,AV90164987[doge][doge]	
无萌焚欢,3,av90164987正面刚[doge][doge][doge][doge][doge][doge]	
RNGS11加油绝不放弃你,3,大学生表示严重支持钉钉[大笑][偷笑]	
Autumn秋酱,3,这里的官方都好卑微哈哈哈[doge][doge]	
苏韻锦小可爱,3,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真实好用！一次付清了！不用谢！	"
占卜师丶丿小白,3,现在全B站都知到我们是你爸爸了[热词系列_知识增加]	
oAni123,3,"活整挺好，app另论
我终于见到了中国学生的力量，明白了为什么学生的作用巨大[笑哭]	"
小鱼_仙官,3,钉钉可开心了，一个视频就赚了几万，而且还让大部分的人都认识了它[嫌弃][嫌弃][嫌弃][嫌弃][嫌弃][嫌弃][嫌弃]	
风季委员会长,3,"一次付清[OK]
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆	"
你猜对了就,3,给你一星只能说明没有比一星更低了[笑]	
Oubier,3,?你道歉说和你无关然后开发了钉钉校园?发现学生有市场了这是?	
在下婉清,3,在？女装？五星？[doge]	
柠檬味小虎鲸,3,5星好评  分期付款[热词系列_你细品]	
凡_子夜,3,据统计，刷一星的大多数是小学生	
孑徵鱼,3,在手机里上网课 真是不可思议啊 中国[doge][doge][doge]	
凡_子夜,3,其实吧就是一群小学生既想多放假又不想上课，我就纳闷了，关钉钉啥事，就算没钉钉，老师也会拿别的直播软件，学校的便宜不是那么好赚的	
bili_2612473,3,对线的已经来了[热词系列_知识增加]	
人家是大白,3,小学生不想学习，怪钉钉?[疑惑]	
缘向狄生,3,"各位客官里面请：《av89872825》
av89835200
av89971591
av90026576
av90011944
av886551718
av88536047
av88536047
av89410051
av89398085
av89408989
av89523423
av89551897
还有B站有水军了。还有钉钉被限流了。你们知道怎么回事的吧。	"
索隆de小迷弟,3,抢游戏的客户，求饶也没用	
Tide汐_Official,3,我找到小姐姐的b站账号了[吃瓜][吃瓜][吃瓜]	
向往天空的鱼仔,3,"合集来啦
原版：av89441613 
日语：av89863838 
翻唱：av89880262 
手风琴：av89717506 
二胡：av90164348 
口琴：av90131471 
penbeat：av89902708 
古筝：av90116402 
钢琴：av89653202 
电脑键盘：av90078227 
架子鼓：av89676003
电吉他：av90380764	"
Moxin-,3,好可爱的小蝙蝠呀，修改器、脚本、连点器都给安排上了，     多      次       少        量	
MSZ0079750,3,你还是个五岁的孩子，却在管你爸爸	
老瓜爱学习,3,兄弟们，钉钉在华为应用商城已经三星半了??。	
做一个风犬少年,3,最近网上老是有人问：钉钉是个什么东西。我打开电脑一查，这电脑没有联网。歪歪斜斜的每幕上都写着“钉钉”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满屏上都写着两个字“吃人&#34;！	
紫金Misaki,3,"上网课听到最多的是批评，永远都是”XXX又没打卡，XXX作业又没交“
却很少听见，上网课幸苦了这样一些表示理解的话	"
ZZH繁,3,别做软件了，改行做视频吧	
叶子不义之财,3,承认自己是蝙蝠就给五星（一次付清）	
瑞瑞的小落,3,五星不可能，话说钉钉管我屁事，老子用的无限宝[吃瓜][吃瓜][滑稽]	
海风-Breeze,3,"身为一个高三党，实在是对那些因为不满学习而打一星的人表示不解，作为高三党，我认为钉钉还是可以的。那些打一星的不知是哪有问题，不止高三，我想每个人都需要钉钉或者其他的软件来学习，现在快乐了，以后就悲伤了。现在看一波钉钉就可以多了解一个知识点，这难道不香吗？
反正我当时下载后，反手就是一个五星，钉钉这波真的很及时[打call]
然后，各位不要再给钉钉打一星了，被教育部选中钉钉也是没有办法的。
最后，官方可不可以来个钉钉娘啊？[doge]	"
生为人民服务,3,你钉起来真好听 特别像午夜凶铃像我专心学习 大妈在广场 放凤凰传奇你钉起来真好听 像指甲抠墙壁像我步行 遇到搅拌机 溅我一脸泥你钉起来真好听 像满清十大酷刑而我像白居易 要远征维京	
非托不尼,3,"不想上钉钉直播课怎么办[tv_doge]
1.物理攻击:直接把手机砸了
2.物理迷惑:挡住摄像头
3.网络攻击:路由器限个1KB
4.迷惑行为:把手机丢一边去
5.战术救援:把老师家网线给剪了
6.沙雕行为:在看直播时保持不动，老师会以为你卡了，就不会叫你回答问题。
7.网络迷惑行为:分屏边打游戏边上课，被叫到了就把摄像头挡住，然后欺骗老师自己手机没有摄像头
8.拆解行为:把摄像头拆了，老师叫到你时就说摄像头没用，给当了还钱
9.攻击行为:直接顺网线把老师打晕
10.诈骗行为:谎称自己身体受到严重伤害(如车祸，跳楼等)，然后通过PS制造虚假信息来迷惑老师。
11.战术迷惑:给老师刷礼物
12.偷盗行为:在开直播的前一天晚上将老师的直播设备(电脑，手机等)通过非法途径运输出来，然后据为己有
13.战术辱骂:在直播间辱骂开课老师，使其下播
14.跳热舞	"
毕竟你锺哥,3,为什么会变成这样呢……第一次有了自己的手机。有了对学习产生的兴趣。两件欢乐的事情重合在一起。这两份快乐，又给我带来更多的快乐。得到的，本该是像梦境一般幸福的时间……但是，为什么，会变成这样呢……[doge]	
脑洞没那么大啦,3,明明是胖蝙蝠，非得说自己是燕子[偷笑]	
做梦的傀儡,3,说真的，我们打一星真的不太好，影响太差，显得我们没素质。所以请别打超过一星，让它下架吧[偷笑][偷笑][抠鼻]	
久-念す,3,为什么会变成这样呢……第一次有了自己可以玩手机的理由。有了对学习产生的兴趣。两件欢乐的事情加在一起。这两份快乐，又给我带来更多的快乐！得到的，应该是像梦幻一般幸福的时光……但是，为什么，为什么变成这样呢……？[热词系列_锤]	
天寒自觉冬来过,3,我们是讨厌钉钉吗？不讨厌的是你给了学校给老师加班的理由，我们心疼老师啊[妙啊][妙啊][妙啊]	
-南宫十四-,3,最近网上老是有人问：钉钉是个什么东西。我打开电脑一查，这电脑没有联网。歪歪斜斜的每幕上都写着“钉钉”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满屏上都写着两个字“吃人&#34;！	
凩凩丶,3,"你钉起来真好听：av88651718
五星分期，下次一钉：av90164987
出钉：av89447274
钉钉本钉，还敢整活：av90175744
阿里官方，钉宝岛：av89446679
穷开钉：av90223628
午夜凶钉：av88536047
处处钉：av90295179

欢迎各位大佬扩列。。	"
KidCatBurglar,3,还好我们上海上网可以用b站[doge]	
焦警233,3,1星接好，既然钉钉选择了以管理者老板的需求为导向，唯老板是詹，就别舔着脸间广大员工要好评，问你的老板要五星去吧，员工的需求你们的产品经理从来没考虑过，所以你们要几星我也不Care。	
小嘤竟然用头,3,其实我觉得钉钉挺好的，好就好在我们学校不用钉钉[doge]	
宇宙观光车,3,爷是钉钉五星党。没有别的 实在是看不起给一星的[呲牙]	
眾生百態而我了無生趣,3,上周我只是没打卡，记了我旷工5次，我都成黄金旷工了。[tv_doge][tv_doge]	
skin-瓜皮,3,弟兄们加油，现钉钉评分1.多了，1星以下就下架加油，奥力给！！！	
礴輛h,4,"我是高三学生，再次我表示疫情当前相应国家号召，全国人民众志成城，在家上网课开直播是一个非常正常的模式，同等于在学习上课，有同学给钉钉app打评分到一星，再次我可以很负责人的告诉你，不是钉钉你没有现在上课的机会，未来的路都是你们自己的，没有谁再去督促你监督你，去走完，走完整自己的人生道路，当然了可以自己选择没人强迫你，这与钉钉是没有任何关系的。网上流传关于钉钉差评的视频有好多，你们觉得是在嘲笑钉钉吗，不是，是在讽刺当代年轻人，有学不习，还给差评的风气，在此我表示可以自己去选择是否上老师的网课，你可以不上，但是请你不要伤害钉钉，因为钉钉app的工作人员，正冒着生命危险在后台运行这钉钉软件的正常使用，他们也是国家的一份子，他们也是和我们鲜活有生命灵魂的人，他们也可以选择去，在家躺着就能为国家做贡献，没必要去冒着生命危险奋斗在最前线。
疫情无情，人有情。
钉在奋斗，人无情。
若问为何，次无情。
哎！矫情。	"
昔日de光辉,3,"鬼畜求饶×
官方聚会?	"
九十七dy,4,高三可不希望你下架，当然是五星[tv_doge]	
TwoShenMengxi,3,三天前当我看到这个视频的时候，我只是笑笑（因为我们不用），但就在刚刚，我要给他五星好评（分五期）[大哭][大哭][大哭][大哭][大哭][灵魂出窍][灵魂出窍][灵魂出窍][灵魂出窍][热词系列_我太南了][tv_笑哭]	
开宾馆看街景,3,这平台的主播不行啊！让他跳个舞他也不跳还问我几班的[doge][doge]	
点赞投币收藏关注转发,3,"没事，等疫情过了，我们不用了就给你刷回来
至于现在，做梦	"
攻得一批的扶茶,3,你才二级[doge]	
风花_雪凛,3,我现在就给你打五星，因为，我用的是名师空中课堂[滑稽][滑稽]	
雪饼是甜的,3,说真的，我要发动我的同事给你一星！如果不是你，我一个教一年级的语文老师，能活活变成主播？？？？假期都不放过我，头发这片土地被你摧残的都不肥沃了[微笑]	
Lampel2,3,我给你想个办法:你让服务器休息一个星期，我们立刻马上给你改成五星[doge]	
河南机电微校园,3,[tv_doge]自从老师学生用上了钉钉，学校再也不用担心上课迟到了	
暗中观察组优先撸猫,3,[滑稽]我他妈直接修改器，一颗心都不给你。	
黎明前-黄昏后,3,就是一群不想学习的辣鸡又不敢跟家长老师叫板，只能无能狂怒[呲牙]	
你看我鸽了其实我没鸽,3,情商高的官方就是不一样，不像隔壁。。。。说实话，我也没给钉钉打分，毕竟我们学校不用这个[笑哭]，不过我妈为了工作打卡下了，看官方态度那么诚恳，加这是因为特殊原因被选中确实不是你们的锅，所以我打个五星吧[笑哭]你们真的是太惨了。	
麦哲伦快来我家,3,点踩拉黑举报三连[doge]	
Fearless1,3,大家注意啊它承认自己买水军了！哈哈哈哈	
欣小萌请爱我,3,钉钉这么好用，一定分期好评[doge]	
乙醚计划,3,本视频的所有收益都将用来雇佣水军刷五星好评，请大家一定要素质三连，支持钉钉[doge][doge]	
伊藤鹿皮,3,可知道撤硕？？？这就带宁去	
陈情_羡,3,钉钉	
youprone,3,别看了，上课了	
又该吃晚饭了,3,？开始了	
鸭了,6,大家注意弹幕礼仪，什么爬什么的就不要发了，打一星的把五星补回来吧，人家在这种时候还在处理服务器之类的，人也不容易，那些不想学的平时就是这样，不能怪钉钉，我真是被吓到了，人又唱歌又为你修理bug，辛苦	
1001几何代数,6,我觉得钉钉是无辜的，有本事与老师校长怼去，在这里给人软件刷一星算什么本事	
奥汀代言人,6,洗，就硬洗，互联网就真好带风向呗。吴亦凡之前那么多黑料，一首歌就一堆人粉；钉钉现在被质疑调用摄像头，一个鬼畜就一堆人粉呗	
世界核平23,6,"还有人为钉钉喊冤，屁股歪上天去了吧？

说破皇帝新衣的是孩子，把 钉钉 打得体无完肤的，终究还得靠孩子。

钉钉这次微博在线道歉，是一次很明显的洗白行为，企图用通过鬼畜视频，俯下身段和自己的学生用户达成一片，目的不在道歉，而在拉拢人心，拉拢潜在客户。

可怕的是，钉钉的这种洗白营销行为，竟然还能登上知乎热搜，数个大V借其所谓的成功营销手段为其洗白呐喊助威。

包括这个问题下的若干回答，把矛头指向被逼营业的孩子和老师，是何居心？

钉钉这种APP，的确是有着广泛的市场需求。

但满徐的是企业的需求，不是你小员工的。

一味跪舔 企业，功能设置上置员工权益不顾，就这还叫冤枉？

屁股坐在那儿？自己都搞不清楚么？

是不是被资本家剥削的已经麻木了，不知道谁是队友谁是敌人了？钉钉侵犯个人隐私吗？

先前已经有答主认真分析过钉钉侵犯隐私权的事情了，这是连小学生都知道的事情，

有人还为钉钉喊冤？

谁都知道学生被迫上课之后怒火难耐，可怒火撒向钉钉，方向没有偏！

因为钉钉是帮手、是走狗，皇帝骂不到，骂骂太监总是可以的吧？

不要说什么技术无罪，王欣的技术退一万步讲，好歹让大家看上了动作电影；

钉钉呢？

资本家希望员工不迟到，所以钉钉有打卡功能；

资本家希望知道员工有没有闲逛，所以钉钉有定位功能；

资本家希望知道运功是否故意看到消息不会，所以钉钉有已读功能。

哪一天资本家想知道员工到底还有多少剩余价值没压榨的时候，

钉钉会不会第一个跳出来给算算？

够多就使劲压榨，没了就滚蛋。

技术犯罪的时候，大家一个也跑不了	"
搞事情不需要理由,6,你们讨厌学习，你们就直接去和教育部领导去说呗，干嘛和中间的软件APP说话？一个办公软件本来就是为成年人建设的（我不信你个未成年人，你还搞办公），要用的是你们的学校，你直接和你们学校去说呗，这种办公的APP可能还没想到自己会为国家的教育工作做贡献，他做错了什么？恶意刷分你好玩吗？一群孤儿	
爱吃包子的天依,6,这个钉钉没了还会有下个钉钉出来，不想上课直说嘛，这种希望软件下架损人不利己的事都能干出来，有些人的心里真的挺恶心的	
一个昵称_-,6,自己不想上课还迁怒于软件属实脑瘫行为哦[微笑]	
j-hope的迷妹,6,"说高考延迟的是他们，给钉钉差评的也是他们，想考好的是他们，不学习的也是他们。
             ——转自某位网友评论	"
饼干警察没有钱,6,真实觉得那些给钉钉恶意差评，想让他下架的人很ex。钉钉下架了学校难道不会找别的软件？你是把气撒舒服了。知道一个软件需要多少个程序员每天码着代码去工作才能上架吗？钉钉就像他们的孩子，你一句差评，只不过是“拿工资”的无所谓。再者说，延迟开学，拿暑假来补，你大可以找教育局去表态，而不是找你能撒气的地方，这只不过是你懦弱无能的表现罢了。而且是对自己的不负责任是对未来的不负责任。高考中考会考没有延迟，难度和标准也没有下降。或许你家里有亿万财产和公司等着你继承？你duck不必去学，也行。可问题是多少人中才出一个这样的人。你知道在你们上网课的同时还有多少个企业在用这个软件，在为国家做出贡献。都是第一次做人，你怎么能怎么自私。有些人喊着那些政fu不给好好办事，每天去抱怨社会不公。那你当下在做什么？你在虚度无脑的跟着那些键盘侠既没有做出什么贡献还恶意跟风捣乱。口口声声说要自己成才改变中国，你有做过什么嘛？你是个学生只不过需要你好好学习，这么简单。生而为人，请你们善良。	
筱筱筱皮,6,"各位好汉，你们爱学不学哈，别祸害我们，真的一直都不想在公开评论带不好的情绪，但是你们是不是太过分了。
你们故意刷一星要把钉钉刷下架，我个人觉得有点想人血橘子那件事，都是故意刷的，非要把别人的软件弄下架?真的邪恶，玩笑是玩笑，过分了现在!	"
Mafumafu_Chamel,7,"还有人为钉钉喊冤，屁股歪上天去了吧？

说破皇帝新衣的是孩子，把 钉钉 打得体无完肤的，终究还得靠孩子。

钉钉这次微博在线道歉，是一次很明显的洗白行为，企图用通过鬼畜视频，俯下身段和自己的学生用户达成一片，目的不在道歉，而在拉拢人心，拉拢潜在客户。

可怕的是，钉钉的这种洗白营销行为，竟然还能登上知乎热搜，数个大V借其所谓的成功营销手段为其洗白呐喊助威。

包括这个问题下的若干回答，把矛头指向被逼营业的孩子和老师，是何居心？

钉钉这种APP，的确是有着广泛的市场需求。

但满徐的是企业的需求，不是你小员工的。

一味跪舔 企业，功能设置上置员工权益不顾，就这还叫冤枉？

屁股坐在那儿？自己都搞不清楚么？

是不是被资本家剥削的已经麻木了，不知道谁是队友谁是敌人了？钉钉侵犯个人隐私吗？

先前已经有答主认真分析过钉钉侵犯隐私权的事情了，这是连小学生都知道的事情，

有人还为钉钉喊冤？

谁都知道学生被迫上课之后怒火难耐，可怒火撒向钉钉，方向没有偏！

因为钉钉是帮手、是走狗，皇帝骂不到，骂骂太监总是可以的吧？

不要说什么技术无罪，王欣的技术退一万步讲，好歹让大家看上了动作电影；

钉钉呢？

资本家希望员工不迟到，所以钉钉有打卡功能；

资本家希望知道员工有没有闲逛，所以钉钉有定位功能；

资本家希望知道运功是否故意看到消息不会，所以钉钉有已读功能。

哪一天资本家想知道员工到底还有多少剩余价值没压榨的时候，

钉钉会不会第一个跳出来给算算？

够多就使劲压榨，没了就滚蛋。

技术犯罪的时候，大家一个也跑不了	"
武汉软件工程学院,4,武汉软件工程学院在线赔罪[doge]	
伴卿候此余生,4,钉钉目前评分1.3分，低于1.0分就会下架，祖国的花朵们，为了你们未来学业有成，专门下载一个钉钉给了五星好评。来自前辈对你们的厚爱，不要感谢我，毕竟咱做好事不留名	
259XD,4,大家都在用钉钉嘛？分期警告，进来看看有没有你们在用的网课软件吧[打call]av90156896	
等不到的鸽多,4,肯定五星，学习是给自己学的[2233娘_第一]	
轩明阿,4,专程下了钉钉，就为了打个5星，一帮小朋友毛都没长齐怪人家钉钉也是好笑。	
凤仪掷戟,4,我寻思，要你们上课的是教育局，关别人钉钉啥事	
中二青年无所畏惧,4,av90164987	
钉钉Dingteik,4,一个学习官方，被迫改做鬼畜，生活不易啊	
吴灿炒酸奶,4,不学就退学啊?还打一星我就无语	
秋天samaa,4,不吃这一套昂	
惜命缩缩,4,钉钉主播素质不行，  让她跳个舞她都不跳，还问我哪个班的，真是笑死我了	
雷锋-同志,4,可怜之人必有可恨之处，我听课的时候摄像头指示灯时不时会亮，我把钉钉的摄像头权限关了之后就没有了，可不是就我自己发现了这个问题，你们官方可是从来没给过解释，一句“我们没有”就算辟谣了？今天也是一星好评不送	
警告-无法显示-警告,4,4399里面的钉钉打一分的人态度是真的恶劣！还说欺负几个人欺负一个人是欺凌，一万个人欺负一个人就是正义，刷个好评都被骂，有B站的兄弟去4399吗？	
