姓名,点赞数,评论内容,评论时间
撑死的猪__,0,★☆☆☆☆[doge]	,2020-02-24 19:48:17
倾世莲华_,0,又疯一个	,2020-02-24 19:48:53
Dr-时笑与希滋的饭,0,钉钉你别做App，直接出道吧[惊讶]	,2020-02-24 19:45:33
直立行走的乌龟,0,血书上传网易云	,2020-02-24 19:40:55
kim梓,0,下次更新什么时候？[热词系列_这次一定]	,2020-02-24 19:40:06
符合世道,0,我一点都不怕，因为我开了消息免打扰。[doge]还设了闹钟，到时间了自己进去就好了。	,2020-02-24 19:39:29
切企鹅,0,我现在每天都会哼这个[嘘声]	,2020-02-24 19:37:35
bili_51284341,0,奇怪的歌词在增加[tv_白眼]	,2020-02-24 19:36:41
旗人南野,0,钉钉被分期五星刺激疯了	,2020-02-24 19:36:14
伴雪寒舞,0,学习强国也是那个鬼声音  欠分期[OK][OK][OK]	,2020-02-24 19:35:49
Ender2143,0,阿伟活了[doge][妙啊]	,2020-02-24 19:33:23
幻同仁堂,0,既然你们连自己都舍得鬼畜那什么时候鬼畜你们老总呢[tv_doge]	,2020-02-24 19:26:12
天枢琳琅,0,再唱？还唱？再唱信不信我接着给你五星分期付款[滑稽]	,2020-02-24 19:25:54
tage么,0,[热词系列_知识增加][热词系列_知识增加]	,2020-02-24 19:25:21
草莓味的雪饼酱w,0,害怕了	,2020-02-24 19:25:19
0-2cny,0,至少不会崩[支持][笑哭]	,2020-02-24 19:22:56
梦想是住在汐鹿生,0,[热词系列_有内味了]	,2020-02-24 19:19:14
白狼绘彻星空,0,在？能催更	,2020-02-24 19:13:25
桐酱er,0,这个黑蝙蝠是疯了吗(不是	,2020-02-24 19:13:37
来自阿尔卑微的咸鱼,0,跟着甩不要停，瘦手臂（bushi）	,2020-02-24 19:12:00
免贵姓谢,0,建议各位不要收藏不要投币不要点赞发弹幕和评论就成了![抠鼻]让它恰不了钱![滑稽]	,2020-02-24 19:11:27
a静安,0,???	,2020-02-24 19:10:56
蓝筱染-蓝白,0,没有钉钉软件听了这首歌莫名都怕死钉钉了[笑哭]	,2020-02-24 19:10:44
杨鯕,0,好好听	,2020-02-24 19:10:16
-酒柒-,0,钉钉在线鬼畜[doge]	,2020-02-24 19:09:18
Alex芥墟,0,我想要你的表情包怎么办钉三多[tv_doge]	,2020-02-24 19:08:59
在逃公主江念桥,0,好狠啊哈哈哈哈哈哈哈[热词系列_知识增加]	,2020-02-24 19:07:29
Vanadium5,0,这声音太可爱了	,2020-02-24 19:07:26
甲烷在燃烧,0,好活！看来五星分期可以刺激这孩子的创作欲望，继续继续。[热词系列_知识增加]	,2020-02-24 19:07:53
爱吃西瓜的昊昊,0,是时候逼一下自己了，一个赞写十分钟作业[妙啊]	,2020-02-24 19:05:52
AWorthyOpponent,0,跟个神经病一样	,2020-02-24 19:05:37
慕柔,0,你真有毒！	,2020-02-24 19:06:13
River0_0,0,yysy钉钉的表情包挺好使的	,2020-02-24 19:02:49
不发言的琉摸摸,0,这个妹子是谁啊？[doge]	,2020-02-24 19:00:48
恬静的草莓,0,我的钉钉来消息    叮！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！	,2020-02-24 18:57:19
----加藤惠----,0,我想看唱歌的小姐姐[doge]	,2020-02-24 18:56:53
nilaiz,0,多才多艺钉钉组	,2020-02-24 18:49:15
灰色丢人政委,0,up主觉得很淦	,2020-02-24 18:42:06
画风人梳百变,0,你五分钟内告诉我这个妹子的全部信息，我天天给你刷五星去[OK][OK][OK][OK][OK]	,2020-02-24 18:41:26
不问归星,0,我终于体会到了孙悟空被唐僧念经的痛苦了	,2020-02-24 18:41:20
汉家烟,0,[吃瓜]	,2020-02-24 18:40:16
GuntherJeffrey,0,好可爱	,2020-02-24 18:37:49
木禾HM,0,你为什么还是才2级	,2020-02-24 18:37:41
中华少先队员川建国,0,[热词系列_奥力给]	,2020-02-24 18:35:47
John_Frankson,0,这波钉钉电音不错[呲牙]	,2020-02-24 18:34:22
陈瑶的老公,0,哈哈哈哈哈哈哈哈哈嗝	,2020-02-24 18:34:21
再不当up就开学了,0,不要侮辱我的头像	,2020-02-24 18:33:28
言寻不皮,0,好可爱[热词系列_AWSL]	,2020-02-24 18:31:40
灸-柒,0,太可爱了哈哈哈哈哈哈哈哈哈哈	,2020-02-24 18:31:13
醉卧美人情,0,[热词系列_“狼火”]	,2020-02-24 18:24:28
艳阳歌千卷19945506,0,我听着舌头都打结了	,2020-02-24 18:19:34
凉宫夏影,0,这开始威逼了	,2020-02-24 18:18:15
菠萝盖奶,0,害怕	,2020-02-24 18:17:35
ghost_7ABE,0,"我有种预感
钉钉在评论低分上失去的利益能通过b站官方号赚回来[滑稽]	",2020-02-24 18:14:32
可乐-月忆,0,准备五星分期╮(￣▽￣)╭??	,2020-02-24 18:12:00
玩第五超菜,0,我求你出个防沉迷吧[doge]	,2020-02-24 18:12:29
天羽清翎,0,维护办公软件转型音乐区up，是道德的沦丧还是人性的扭曲，回应收看被分期付款的五星钉钉	,2020-02-24 18:10:09
狗老悲老卑微了,0,有一说一，关掉声音这还是个不错的视频	,2020-02-24 18:10:08
少年时节,0,声优是谁？	,2020-02-24 18:09:40
Seraphine的地下男友,0,我的首页被钉钉攻陷了[热词系列_知识增加]	,2020-02-24 18:08:29
辻乂耑,0,上网课可以但是什么时候优化一下直播啊，真的卡，我们班上不止我一个人	,2020-02-24 18:06:01
时尚的洗发液,0,我怀疑你在搞黄色	,2020-02-24 18:07:28
小小叮当酱,0,对阿里爸爸为什么就不是up主觉得很淦呢？你个逆子	,2020-02-24 18:05:25
卖鱼强你最帅啦,0,[热词系列_知识增加]	,2020-02-24 18:04:45
落没nutwall,0,好极了！今天打个2星吧！顺遍白个嫖	,2020-02-24 17:58:27
大-威-天-龙,0,请问一共有多少个钉	,2020-02-24 17:57:54
Wing丶Sky翼空,0,本来寻思求饶给你五星来着 你又搞这一出 还是分期吧[吃瓜]	,2020-02-24 17:57:26
看到催我去改三稿,0,赞	,2020-02-24 17:54:46
落没nutwall,0,哈，钉钉还是2级号[tv_doge]	,2020-02-24 17:53:28
逗鱼忽悠,0,钉钉逐渐疯化	,2020-02-24 17:53:03
柏树叶子27,0,鬼畜不过官方	,2020-02-24 17:53:46
Mylittledog,0,钉钉今天下午爆炸??了，是谁这么皮，在钉钉公司放的鞭炮??？[偷笑][偷笑][偷笑]	,2020-02-24 17:48:11
晓梦淼,0,[热词系列_有内味了][热词系列_知识增加]	,2020-02-24 17:44:51
直发子,0,太可爱了吧，不能自拔[星星眼]	,2020-02-24 17:46:34
樱无趣ヾ,0,[热词系列_知识增加]	,2020-02-24 17:45:45
湖北小可爱,0,耳机党阵亡	,2020-02-24 17:44:05
六黛雪六六酱,0,呵tui	,2020-02-24 17:43:58
相知梦幻,0,手不疼么[笑哭]	,2020-02-24 17:42:52
caomaocao,0,[热词系列_知识增加]	,2020-02-24 17:42:29
凤子臣,0,听着像是王菠萝唱的	,2020-02-24 17:40:01
FZLの逆袭,0,半佛老师说了坏名声比没名声好    五星分期不要停[抠鼻]	,2020-02-24 17:37:04
学中南江,0,你说你不好好上网课，来这里搞鬼畜[阴险]	,2020-02-24 17:35:47
buuokun,0,好在我们公司只是拿钉钉来考勤，最多也就加财务跟调班流程申请，老板跟主管不会在钉钉上面钉7我…突然感到庆幸	,2020-02-24 17:37:22
win9斩华雄l,0,啧啧啧，钉钉真是营销鬼才	,2020-02-24 17:35:29
他秊我若為青帝,0,钉钉头像是蝙蝠吗？怎么这么像蝙蝠	,2020-02-24 17:35:02
bili_40480851301,0,钉钉	,2020-02-24 17:29:34
逆天丶古仔,0,快速升级？	,2020-02-24 17:29:13
圈圈qqqquan,0,虽然讨厌早上视频上课，但是歌很好听！	,2020-02-24 17:27:24
蜜桃の流芯子,0,五星工厂	,2020-02-24 17:27:12
圈圈qqqquan,0,虽然讨厌早上视频上课，但是歌很好听！	,2020-02-24 17:27:24
蜜桃の流芯子,0,五星工厂	,2020-02-24 17:27:12
啦啦啦啦阿里,0,听到全身鸡皮疙都起来了，内心还有点反感[tv_白眼][tv_生气][tv_大哭][tv_呕吐]	,2020-02-24 17:26:30
90后大叔小和,0,看到这么多钉，我决定去下载钉钉，然后给5星好评分期付款，以表示支持钉钉[打call]	,2020-02-24 17:23:14
十元的辣椒酱,0,[热词系列_知识增加]	,2020-02-24 17:22:00
17珍,0,午死凶钉	,2020-02-24 17:21:32
星迷-阿duang,0,技术活！	,2020-02-24 17:20:25
本大王哔哩哔哩,0,真就开始整活了	,2020-02-24 17:19:44
夜以归来,0,你不要过来啊	,2020-02-24 17:18:51
2q1w2007,0,哇居然是年度大会员	,2020-02-24 17:16:27
请给我整把AK,0,你这软件不行啊，主播我让她跳个舞，她居然问我是哪个班的，还要让我家长开学去学校一趟[doge][doge]	,2020-02-24 17:13:41
桃花川giaogiao子,0,马上开学了 用不了你了 相比开学上课，我觉得还是用你上课比较好[捂脸]	,2020-02-24 17:13:28
阿拉炖,0,拿来做手机铃声[doge]正好我姓丁[doge][doge]	,2020-02-24 16:57:00
Nep32X,0,这人才两级为什么就会有几十万粉丝[doge]	,2020-02-24 16:54:57
孔雀幽昙,0,我现在也想分期付款了	,2020-02-24 16:54:05
笨笨跳跳活脱脱,0,害，看了好几遍，感觉还怪可爱的[妙啊][妙啊]	,2020-02-24 16:53:18
91617588498_bili,0,评论区公号私用通通逮捕[OK]	,2020-02-24 16:53:05
黎夫子呀,0,今天考试，提交时发现钉钉崩了[tv_白眼]连我以前还没补上的作业也不见了[tv_无奈]	,2020-02-24 16:52:50
南辰旧事北城梦,0,钉钉代码可以开源么??	,2020-02-24 16:52:31
金牌厨师哦,0,今天作业交不了是为什么？	,2020-02-24 16:52:09
幸福执行中,0,可爱? ??	,2020-02-24 16:49:40
艺晴__,0,恭喜五岁的钉钉小朋友成功混入鬼畜圈[热词系列_“狼火”]	,2020-02-24 16:48:02
一吱是我本人,0,疯了，但是我们也不用哈哈哈哈哈哈哈	,2020-02-24 16:46:30
Sekauroelli-雨蛞,0,这蝙蝠还挺可爱[tv_doge]	,2020-02-24 16:46:00
墨酒_乘风破浪,0,(｀?ω?′)	,2020-02-24 16:46:27
北山老南了,0,钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉，你今天怎么了，为什么我们好多人显示不了作业，是你终于被诅咒成功了吗[doge]	,2020-02-24 16:40:50
章小旖,0,著 名 音 乐 区 up 主	,2020-02-24 16:40:42
我就是傻dio之王,0,甩丁舞[doge]	,2020-02-24 16:37:10
--唔姆怪-,0,好可怕的蝙蝠，我怕了，你们呢	,2020-02-24 16:38:19
济局稽段-sillyno,0,二倍速好评	,2020-02-24 16:33:45
姬未归,0,没答题嘛怎么还是2级[滑稽]	,2020-02-24 16:31:25
原野亦风,0,只有我好奇唱歌的小姐姐是谁吗	,2020-02-24 16:33:28
RiceAndEgg,0,钉兄，你的安装界面也太low了，是不是需要程序猿们给升一下级呐，都0202年了	,2020-02-24 16:28:52
瓶孑君152,0,普天同庆，钉钉崩了（作业打不开）	,2020-02-24 16:27:29
生活总是活的不如意,0,[喜欢][喜欢]	,2020-02-24 16:28:01
沐风青筝,0,家校本打不开啊，	,2020-02-24 16:24:11
俗世愚者,0,"完了，这孩子不要五星了。
我还得上网课，ding，ding，ding~	",2020-02-24 16:25:08
勋狗狗,0,你怕不是要出道	,2020-02-24 16:24:56
Tg2u3,0,[热词系列_知识增加][热词系列_三连]	,2020-02-24 16:24:26
6个硬币唉6个唉,0,有些应用表面是用来学习的，但背地里却是用来鬼畜的[doge]	,2020-02-24 16:23:59
浪1010,0,哈哈哈，最后把自个给钉晕	,2020-02-24 16:23:21
呱呱咕咕喋喋喋,0,这个官方怎么成天闲的没事儿干的样子。。。。？？？	,2020-02-24 16:22:08
是萌萌酱哟,0,挺好听的（迫真）	,2020-02-24 16:20:32
机智的一批宝儿姐,0,在?你的服务器崩了	,2020-02-24 16:21:09
梨心Riko,0,你怎么还是只有2级啊	,2020-02-24 16:20:02
玖生鱼,0,害忄	,2020-02-24 16:19:45
Alex-Wilson,0,赶紧给 爬，什么东西在那钉钉钉不停了，就不能设置一个特定人发消息才响那种功能？软件做不完全就拿出来用？签到一个公共课二百多人在哪钉的停不下来？	,2020-02-24 16:16:23
64289472543_bili,0,大早上，七点准时听到，钉钉的声音，心里产生了恐惧啊。但是我一定要给一个好评啊！	,2020-02-24 16:15:01
空ava,0,这货玩b站上瘾了[囧][囧][doge]	,2020-02-24 16:15:38
重寻罗带认银钩,0,完了我们也要上网课了也用钉钉我完了我完了我还想幸灾乐祸一会来着一星安排上吧X﹏X	,2020-02-24 16:15:29
御守稻荷神,0,给赞可以，五星没门[OK]	,2020-02-24 16:13:37
kateng-Megumi,0,你们有没有发现爱情公寓里边有一句歌词是：蓝色背景下我练习飞翔的角度。有没有很像一个软件的图标??	,2020-02-24 16:13:29
布洛芬en,0,它好可爱啊哈哈哈哈哈哈哈哈哈哈哈哈	,2020-02-24 16:12:22
華夢隨風,0,我害怕极了[doge]	,2020-02-24 16:10:24
来者不惧,0,在？公号私用[热词系列_知识增加]（	,2020-02-24 16:10:10
れん冰,0,钉妹声音好好听[热词系列_知识增加]	,2020-02-24 16:08:40
Blanche芊,0,加油呀，超过你爸爸	,2020-02-24 16:08:25
谢滚滚咕噜滚来滚去,0,哈哈哈哈哈哈哈哈	,2020-02-24 16:07:25
年年_有妤,0,哎呀呀，好可爱的肥燕子[喜欢][喜欢][喜欢]	,2020-02-24 16:05:12
今天也要锻炼吖,0,一看就是没接受过skype的毒打	,2020-02-24 16:02:42
约战赛高1,0,钉钉[热词系列_知识增加]	,2020-02-24 16:02:32
道格图林,0,一星好评哈[tv_doge]	,2020-02-24 16:03:01
渡茶,0,二级号强者，竟恐怖如斯	,2020-02-24 16:01:41
四字家的猫,0,视力急剧下降的我:这是只大黑耗子？不，他是蝙蝠。	,2020-02-24 15:58:08
OnePluVioPhile,0,臭弟弟 才两级	,2020-02-24 16:00:16
小酸朵,0,怪可爱的	,2020-02-24 15:57:12
1983-2166,0,忽然发现好多大学啊，谁送我个学姐啊！	,2020-02-24 15:55:14
姜水JSC,0,hhhhhhhhhhhhc人类迷惑行为??笑傻了	,2020-02-24 15:54:35
DNF真不卡啊,0,[哦呼]	,2020-02-24 15:49:26
宇宙奇怪君,0,⊙?⊙！钉。。。	,2020-02-24 15:49:16
艾伦窝天使,0,？？？？？？	,2020-02-24 15:49:45
DNF真不卡啊,0,[OK]	,2020-02-24 15:48:12
西索碳,0,钉钉这是疯了吗[偷笑][偷笑][偷笑]	,2020-02-24 15:46:45
HeliosProject,0,出道了呀	,2020-02-24 15:46:22
蜜汁浩劫,0,呀卡马西[笑]	,2020-02-24 15:40:24
最爱原味阿尔卑斯糖,0,太吵啦[doge]	,2020-02-24 15:36:44
Key-光玉,0,文艺复兴	,2020-02-24 15:36:46
小九黄,0,午夜凶铃	,2020-02-24 15:34:20
快乐的之城,0,那我满足你，5星好评分为5次分清[奸笑]	,2020-02-24 15:33:17
hfgjghh,0,顶流钉钉[热词系列_可以]	,2020-02-24 15:28:21
白日梦黑带,0,我受不了了阿里真的好会啊	,2020-02-24 15:27:01
南越江河,0,这尼玛评论热评全是官方，我们这些普通人怎么活？	,2020-02-24 15:23:46
贫僧想喝酒,0,????????????????????♂??????♂????????????????????????????????????????????????????????????????????????????????????♂??????♂?????????????♂???????????????爬	,2020-02-24 15:19:21
ltjiuano,0,我快不认识钉字了	,2020-02-24 15:14:36
哇哦打得不错QAQ,0,别说，声音还挺可爱的[热词系列_知识增加]	,2020-02-24 15:15:42
umera_,0,泥垢了	,2020-02-24 15:11:39
普鲁士荣耀进行曲,0,"支付宝Alipay：在下是阿里巴巴文状元兼参谋将军，绰号对王之王的支付宝Alipay，阁下是？ 
＞钉钉：钉钉读过两天书，尘世中一个逆子小钉钉～钉钉＞支付宝Alipay：接招吧！钉钉钉，钉钉钉，顶顶顶，小小钉钉可笑可笑 
＞钉钉：钉钉钉，钉钉钉，钉钉钉，钉钉钉钉钉钉钉钉
＞支付宝Alipay：钉钉钉钉钉钉钉钉，钉钉钉钉钉钉钉钉，竟敢教逆子钉钉，十分钉钉。
&gt;钉钉：钉钉钉钉钉，钉钉钉钉钉钉钉钉钉钉钉钉钉钉，下流钉钉。 
＞支付宝Alipay：哇！自付，支付宝
＞阿里巴巴：快对呀
＞支付宝Alipay：支付宝，自付支付支付宝支付宝
＞钉钉：钉钉，钉钉钉钉钉钉钉 
＞支付宝Alipay：zfb支付宝，支付宝支付支付宝
＞钉钉：钉钉钉钉钉钉，钉钉钉钉钉钉钉钉
＞支付宝：支宝支宝支付宝
＞钉钉：钉钉钉钉钉钉钉
＞支付宝Alipay：ZFB支付支付
＞钉钉：钉钉钉钉钉钉钉钉 
＞此时，对支付宝Alipay倒地喷血不止 ＞钉钉：对对本为消遣之乐，今日支付宝Alipay兄呕出几十两血，可谓空前绝后，钉钉佩服佩服。	",2020-02-24 15:11:00
罅鲋韎嶺,0,[热词系列_知识增加][热词系列_知识增加]	,2020-02-24 15:10:36
枭雁酱,0,还是我家初音的好听	,2020-02-24 15:10:57
ニ次元刀酱,0,"@钉钉DingTalk
av90650378	",2020-02-24 15:08:27
西界杀手LB,0,音频什么时候单独释出！	,2020-02-24 15:06:29
樱诺酱哦,0,在？能不能出个防沉迷系统？[tv_坏笑]	,2020-02-24 15:08:53
火乐远,0,疯狂整活？	,2020-02-24 15:07:33
Raymond青鸟,0,Miku正拿着百米大刀前往钉钉总部…	,2020-02-24 15:04:29
骨傲天SAMA,0,听很多人都说听完这歌都会死，我才不亻	,2020-02-24 15:03:44
家境贫寒的尊尊尊尊某,0,公司管制交流软件变成学习软件[捂脸]只怪你太优秀，被五星分期逼疯。	,2020-02-24 15:02:15
小濺濺,0,顶上去，造福社会！[tv_doge]	,2020-02-24 15:02:21
万叶_飞花流,0,@钉钉DingTalk 你的粉丝数量已经超过你爸爸（@阿里巴巴）了	,2020-02-24 14:58:47
白板Handsome,0,五星分期重拳出击，蚂蚁花呗超级加倍[热词系列_知识增加]	,2020-02-24 14:57:31
夏目芦荟,0,消费初音，举报了[热词系列_知识增加][热词系列_可以]	,2020-02-24 14:56:08
肉蛋且葱鸡114514,0,官方竟敢在线整活？	,2020-02-24 14:52:37
与秋逐风丶,0,(=?ω?=)	,2020-02-24 14:50:00
橘布灵,0,蝙蝠哥	,2020-02-24 14:47:59
与秋逐风丶,0,一星警告??	,2020-02-24 14:46:59
单身大仙法力无边,0,好可爱	,2020-02-24 14:46:18
硬核lo娘,0,[热词系列_知识增加][热词系列_可以]	,2020-02-24 14:45:08
47957618185_bili,0,你一星有了	,2020-02-24 14:42:34
西希莉的席恩君,0,[热词系列_知识增加]	,2020-02-24 14:42:03
这个号不是本人,0,这鸟好可爱啊哈哈哈哈哈哈	,2020-02-24 14:33:36
崽崽圆滚滚,0,为什么你现在这么火了还是二级号!你反思一下!不要投完稿就下了!多看看别人视频!	,2020-02-24 14:29:59
七月桥,0,滚，一星送你	,2020-02-24 14:29:41
傅圆慧,0,五星工厂，只有一星	,2020-02-24 14:22:28
西瓜爆胎粥,0,分期付款	,2020-02-24 14:22:31
笨比游神,0,分期的后边那四个一星不要忘记给哦，大家努力给刷到0分	,2020-02-24 14:22:48
muda人,0,如果不是网课，我一定会爱你[大哭]	,2020-02-24 14:19:54
八路军独立团二营长,0,钉钉钉钉	,2020-02-24 14:20:59
冈特指环,0,你们什么时候上传个酷狗音乐网易音乐QQ音乐酷我音乐[tv_冷漠]	,2020-02-24 14:21:42
18340312771,0,分期五星，哈哈，真有创意！	,2020-02-24 14:14:45
火日立缶,0,每天坚持一星好评！一切为了孩子	,2020-02-24 14:16:41
又与YU,0,我 玩 我 自 己	,2020-02-24 14:15:35
景_南,0,石锤了，这肯定不是鬼畜，喘气声都听得到[无语]	,2020-02-24 14:11:26
猫腻子-,0,就没有人数数看，歌词和评论歌词钉的数目有没有对上吗	,2020-02-24 14:11:11
紫色霖云00,0,做的很好，看看我的视频吧[doge][doge][doge]AV91050973	,2020-02-24 14:11:57
平方米_,0,[热词系列_知识增加]	,2020-02-24 14:08:49
选奶猫SM,0,真好听，我还是把五星差评改成一星好评吧。[吃瓜][吃瓜]	,2020-02-24 14:08:46
浅笑小倔犟,0,现在已经成通篇僵尸脸了	,2020-02-24 14:02:52
西瓜西洁,0,满脑子都是钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉	,2020-02-24 14:00:54
shimako,0,点击鼠标在“大拇指”的位置，圆圈转至1/5时松开，三连以送上，加油噢～	,2020-02-24 14:01:29
气哭洪七公,0,洗地？	,2020-02-24 13:58:10
安七虾,0,下次一钉[tv_点赞]	,2020-02-24 13:56:09
bili害我,0,被分期逼疯了的钉五岁？[抠鼻]	,2020-02-24 13:56:07
妥妥の拖鞋,0,[调皮]	,2020-02-24 13:48:21
镇暴型鮟鱇肝,0,钉钉的cv是谁？！	,2020-02-24 13:47:19
山岚海韵,0,铁肺钉钉 一星警告	,2020-02-24 13:47:16
梦想精灵-Dreamelf,0,录完音是不是嘴巴都说不粗发了	,2020-02-24 13:46:32
KaMiSaMa不想出门,0,乌鸦坐飞机，还在玩钉钉？[tv_白眼][tv_白眼]	,2020-02-24 13:44:02
什么你叫我爸爸,0,这只蝙蝠长得真像燕子，吓死我了[灵魂出窍]	,2020-02-24 13:43:26
木市不是柿,0,有点心痛负责字幕的哈哈哈哈哈	,2020-02-24 13:42:33
埖火火,0,刚刚去看了一下，原来你不是最近才来点B站，原来你以前不是这样的不正经啊[喜极而泣][喜极而泣][笑哭]	,2020-02-24 13:43:09
电磁炮烤柠檬,0,看我动态，有人不仅洗辱华垃圾还说看鬼畜就是生活低端[吐]	,2020-02-24 13:40:10
你被兔子看见了,0,加码来电	,2020-02-24 13:33:54
我家有大森林,0,简介好评	,2020-02-24 13:33:52
__八戒弟弟,0,好怕钉着钉着，喘不过气了[抠鼻]	,2020-02-24 13:29:34
28029580359_bili,0,这才是真正的不务正业的官方	,2020-02-24 13:28:56
澳白不加糖,0,哈哈哈哈哈 二级号[呲牙]	,2020-02-24 13:27:47
夏茗荷风,0,求个同款情头＋GIF表情包[doge]	,2020-02-24 13:26:53
oni404,0,你打我呀？	,2020-02-24 13:24:04
天津河蟹,0,又整活	,2020-02-24 13:23:18
涂山哈哈,0,这编曲害挺好听的！(｀?ω?′)	,2020-02-24 13:18:57
保护我方凳子,0,不务正业，一星好评	,2020-02-24 13:18:55
贺月刖,0,不是为啥官方号等级都贼tm低？	,2020-02-24 13:18:11
陪你一起的张同志,0,"听说出了个新的直播软件评分很低 就下载试了试
难怪评分低 刚让主播跳舞都不愿意 还问我哪个班的	",2020-02-24 13:16:12
哈士企_,0,又疯一个[doge]	,2020-02-24 13:14:20
法梨斯戴尔,0,[冷]	,2020-02-24 13:08:50
源于新生ya,0,干啥老鬼畜自己	,2020-02-24 13:07:14
Los-August,0,在热评挑选心仪院校	,2020-02-24 13:02:26
平行世界的另--个我,0,热评都是小闪电[doge]	,2020-02-24 12:59:30
花落子啊,0,你很可爱，但是我上课很难受	,2020-02-24 13:01:26
胖了个盼,0,阿里云系滚出b站	,2020-02-24 12:57:14
阿波罗001,0,从七岁到七十	,2020-02-24 12:57:56
胖了个盼,0,阿里云系滚出b站	,2020-02-24 12:57:14
阿波罗001,0,从七岁到七十	,2020-02-24 12:57:56
复仇斗帝の高町奈叶,0,我给打了五星，不是友军。AV91156425	,2020-02-24 12:56:49
滢梦,0,上头了关注了。什么？分组？恩......那就鬼畜区吧！[doge]	,2020-02-24 12:56:16
八一的sp狱友,0,提醒各位一下，老师在直播时如果你把它放到后台运行，然后去玩其他游戏的话，这样你看直播的时间是不算的，别问我怎么知道的[大哭][大哭][大哭]	,2020-02-24 12:55:58
酸酸籽粒,0,哈哈哈真的好可爱球球画师	,2020-02-24 12:55:36
大青花鱼Official,0,你根本唔想让我学习，你就是馋我手里的硬币	,2020-02-24 12:54:53
妾阁瓦拉,0,五星也是一颗一颗凑起来的[抠鼻]	,2020-02-24 12:53:36
青染六玖,0,建议改成：文   艺   复   兴	,2020-02-24 12:51:43
柔柔爱肉肉,0,你咋还是二级呀	,2020-02-24 12:50:58
丶喵咕,0,上班的铃声响起了，你们还不去上班!（破音）	,2020-02-24 12:48:52
ZQpoi1,0,师傅别念了	,2020-02-24 12:48:28
龚鶏Happy,0,感觉一杯只蝙蝠在围着我转。	,2020-02-24 12:48:01
黑线局长,0,时间不够了，忙着去学习，先给一星吧	,2020-02-24 12:46:42
deFrankOcean,0,兄弟们我的uid顶吗	,2020-02-24 12:46:09
鲸跃whale,0,建议改成： 午 夜 凶 铃	,2020-02-24 12:39:24
800mm频射嘴炮,0,资本家的走狗，到这儿来摇尾乞怜？	,2020-02-24 12:38:06
怎样才能引起UP的注意,0,请允许我做个害怕的表情[tv_doge]	,2020-02-24 12:36:39
瞒不过的谎言,0,★☆☆☆☆[妙啊]	,2020-02-24 12:29:14
以木乐_,0,原本我以为我逃脱了钉钉，但是没想到，最终我还是下载了钉钉[热词系列_我太南了]	,2020-02-24 12:29:03
-叶墨-,0,在哪能下载到这歌[微笑]	,2020-02-24 12:25:08
哔咔嗦嘎,0,b站来了好多单位呦！[吃瓜]	,2020-02-24 12:25:45
此葱非彼葱此乃弎凌葱,0,震惊！b站某up竟然在视频中一直喊dingding[滑稽][滑稽][滑稽][滑稽]	,2020-02-24 12:25:34
青小冘,0,这就是一个up的成长之路吗[阴险]	,2020-02-24 12:25:10
您的阿障到了请签收,0,害怕[笑哭]	,2020-02-24 12:25:07
烟草与风絮,0,文艺复兴	,2020-02-24 12:17:30
风旖千懿,0,没有智学网吗？这么可爱的猫头鹰没人抱走？？？[doge]	,2020-02-24 12:17:27
名字长的人会被锤,0,钉钉钉钉	,2020-02-24 12:17:10
吃枣乘鲜,0,上头	,2020-02-24 12:14:22
Rylynn--,0,这波啊，这波是神经失常	,2020-02-24 12:13:51
野草連天,0,还挺上头[笑哭]	,2020-02-24 12:15:01
OCN牧星者,0,自暴自弃了哈	,2020-02-24 12:12:51
殛肂,0,疑车无据	,2020-02-24 12:11:55
费用的费用,0,(=?ω?=)	,2020-02-24 12:10:43
瑭诺君书,0,害怕	,2020-02-24 12:04:10
阿枣与红豆zza,0,为什么这么多官方号，莫非……[热词系列_知识增加]	,2020-02-24 12:02:11
圣光会谢谢你丷,0,害怕害怕	,2020-02-24 12:01:02
城北不在美,0,"好听
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
好评[tv_点赞]	",2020-02-24 12:01:59
lzlzttt,0,加兰德，叮	,2020-02-24 12:00:42
蛤库桑,0,一星好评	,2020-02-24 12:00:36
易漪汾卿miho,0,你别过来啊，我刚刚下课	,2020-02-24 12:00:05
橙子柠檬,0,又来了哈哈哈哈哈哈哈哈哈哈	,2020-02-24 11:59:14
掉线大神,0,上首页了你知道吗[笑哭]	,2020-02-24 11:56:11
晓梦方舟,0,一星？这次一定[OK][妙啊]	,2020-02-24 11:53:02
伊卡洛斯不会飞,0,宁就是鬼畜区up主[奸笑]	,2020-02-24 11:54:46
掉线大神,0,哈哈哈哈哈哈哈哈[大笑]钉钉怎么也想不到…	,2020-02-24 11:54:46
荼獭Neko,0,钉钉长得有点像金鱼草[热词系列_知识增加]	,2020-02-24 11:53:25
